"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote"
EAST BRUNSWICK SURGERY CENTER LLC,31C0001017,1093731101,EAST BRUNSWICK,NJ,8816,2020,25.51,,N/A,5,429,No Different than the National Rate,9.9,7.3,13.6,,100,,0.27,,58,No Different than the National Rate,2.2,1.6,3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
EAST BRUNSWICK SURGERY CENTER LLC,31C0001017,1093731101,EAST BRUNSWICK,NJ,8816,2019,28.27,,N/A,5,696,No Different Than the National Rate,11.5,8.5,15.6,,100,,0,,,,,,,,,,,,,
SURGICAL CENTER OF SOUTH JERSEY,31C0001019,1689639692,MOUNT LAUREL,NJ,8054,2020,N/A,1,N/A,5,356,No Different than the National Rate,10.8,8,14.7,,100,,0.13,,57,No Different than the National Rate,2.2,1.6,3.1,,N/A,N/A,N/A,N/A,N/A,5
SURGICAL CENTER OF SOUTH JERSEY,31C0001019,1689639692,MOUNT LAUREL,NJ,8054,2019,N/A,1,N/A,5,459,No Different Than the National Rate,13.4,9.9,18.3,,99.88,,0.18,,,,,,,,,,,,,
NJ CATARACT AND LASER INSTITUTE,31C0001020,1205348083,LAKEWOOD,NJ,8701,2020,N/A,5,85.53,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PHYSICIANS OF MONMOUTH LLC,31C0001021,1306949862,HOLMDEL,NJ,7733,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.57,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PHYSICIANS OF MONMOUTH LLC,31C0001021,1306949862,HOLMDEL,NJ,7733,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.85,,,,,,,,,,,,,
BERGENPASSAIC CATARACT LASER AND SURGERY CENTER LLC,31C0001023,1376536417,FAIR LAWN,NJ,7410,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.8,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BERGENPASSAIC CATARACT LASER AND SURGERY CENTER LLC,31C0001023,1376536417,FAIR LAWN,NJ,7410,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.78,,,,,,,,,,,,,
NORTHERN NEW JERSEY EYE INSTITUTE PA,31C0001024,1033294640,SOUTH ORANGE,NJ,7079,2020,N/A,5,99.09,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.49,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHERN NEW JERSEY EYE INSTITUTE PA,31C0001024,1033294640,SOUTH ORANGE,NJ,7079,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.57,,,,,,,,,,,,,
CAMPUS EYE GROUP ASC,31C0001026,1134101256,HAMILTON,NJ,8690,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.6,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PAVONIA SURGERY CENTER INC,31C0001030,1396844429,JERSEY CITY,NJ,7306,2020,N/A,5,100,,N/A,N/A,N/A,N/A,N/A,5,100,,0.88,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PAVONIA SURGERY CENTER INC,31C0001030,1396844429,JERSEY CITY,NJ,7306,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,1.32,,,,,,,,,,,,,
FREEHOLD ENDOSCOPY ASSOCIATES LLC,31C0001033,1447320213,FREEHOLD,NJ,7728,2020,94.91,,N/A,5,1303,No Different than the National Rate,10.3,7.6,13.5,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
FREEHOLD ENDOSCOPY ASSOCIATES LLC,31C0001033,1447320213,FREEHOLD,NJ,7728,2019,81.97,,N/A,5,1585,No Different Than the National Rate,11.4,8.7,15.1,,N/A,5,N/A,5,,,,,,,,,,,,
BERGEN GASTROENTEROLOGY PC,31C0001035,1447457403,EMERSON,NJ,7630,2020,68.75,,N/A,5,1159,No Different than the National Rate,10.1,7.7,13.3,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BERGEN GASTROENTEROLOGY PC,31C0001035,1447457403,EMERSON,NJ,7630,2019,66.67,,N/A,5,1390,No Different Than the National Rate,11,8.4,14.4,,N/A,5,N/A,5,,,,,,,,,,,,
OCEAN SURGICAL PAVILION PC,31C0001036,1144291261,OAKHURST,NJ,7755,2020,92.59,,N/A,5,2423,No Different than the National Rate,10.8,8.6,14,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OCEAN SURGICAL PAVILION PC,31C0001036,1144291261,OAKHURST,NJ,7755,2019,N/A,5,N/A,5,2825,No Different Than the National Rate,14.4,11.6,18,,N/A,5,N/A,5,,,,,,,,,,,,
AMBULATORY SURGICAL CENTER OF MORRIS COUNTY INC,31C0001038,1902877715,CEDAR KNOLLS,NJ,7927,2020,76.35,,N/A,5,1212,No Different than the National Rate,9.3,7,12.4,,94.87,,0.27,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AMBULATORY SURGICAL CENTER OF MORRIS COUNTY INC,31C0001038,1902877715,CEDAR KNOLLS,NJ,7927,2019,N/A,5,N/A,5,1562,No Different Than the National Rate,10.8,8.3,14.4,,N/A,5,N/A,5,,,,,,,,,,,,
SURGICORE OF JERSEY CITY LLC,31C0001039,1184151425,JERSEY CITY,NJ,7306,2020,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
SURGICORE OF JERSEY CITY LLC,31C0001039,1184151425,JERSEY CITY,NJ,7306,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5,,,,,,,,,,,,
CLIFTON SURGERY CENTER INC,31C0001042,1861494007,CLIFTON,NJ,7013,2020,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,100,,N/A,5,83,No Different than the National Rate,2.1,1.5,2.9,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
CLIFTON SURGERY CENTER INC,31C0001042,1861494007,CLIFTON,NJ,7013,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5,,,,,,,,,,,,
SURGICARE SURGICAL ASSOCIATES OF FAIRLAWN LLC,31C0001045,1093867830,FAIR LAWN,NJ,7410,2020,N/A,5,N/A,5,103,No Different than the National Rate,9.9,7.3,13.8,,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,85,No Different than the National Rate,5.4,3.6,7.7,
SURGICARE SURGICAL ASSOCIATES OF FAIRLAWN LLC,31C0001045,1093867830,FAIR LAWN,NJ,7410,2019,N/A,5,N/A,5,146,No Different Than the National Rate,12.1,8.8,16.7,,N/A,5,N/A,5,,,,,,,,,,,,
ENDOSCOPY CENTER OF RED BANK,31C0001046,1710948302,RED BANK,NJ,7701,2020,94.44,,N/A,5,3025,No Different than the National Rate,9.4,7.3,11.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDOSCOPY CENTER OF RED BANK,31C0001046,1710948302,RED BANK,NJ,7701,2019,N/A,5,N/A,5,3725,No Different Than the National Rate,10.8,8.5,13.5,,N/A,5,N/A,5,,,,,,,,,,,,
HUNTERDON CENTER FOR SURGERY LLC,31C0001052,1164561064,FLEMINGTON,NJ,8822,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.91,,87,No Different than the National Rate,2.2,1.6,3,,44,No Different than the National Rate,5.4,3.6,7.8,
ENDO SURGICAL CENTER OF NORTH JERSEY,31C0001053,1740261882,CLIFTON,NJ,7013,2020,N/A,5,N/A,5,143,No Different than the National Rate,9.5,6.8,13,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDO SURGICAL CENTER OF NORTH JERSEY,31C0001053,1740261882,CLIFTON,NJ,7013,2019,N/A,5,N/A,5,165,No Different Than the National Rate,11.2,8.1,15.6,,N/A,5,N/A,5,,,,,,,,,,,,
CENTER FOR SPECIAL SURGERY,31C0001057,1336154152,HAWTHORNE,NJ,7506,2020,18.48,,N/A,5,88,No Different than the National Rate,9.7,6.9,13.3,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CENTER FOR SPECIAL SURGERY,31C0001057,1336154152,HAWTHORNE,NJ,7506,2019,N/A,5,N/A,5,93,No Different Than the National Rate,11.6,8.4,16.1,,N/A,5,N/A,5,,,,,,,,,,,,
ENDOSCOPY CENTER OF SOUTH JERSEY P C,31C0001058,1255376653,VINELAND,NJ,8360,2020,N/A,5,N/A,5,409,No Different than the National Rate,11.1,8.3,15.1,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDOSCOPY CENTER OF SOUTH JERSEY P C,31C0001058,1255376653,VINELAND,NJ,8360,2019,N/A,5,N/A,5,685,No Different Than the National Rate,12.8,9.6,17.1,,N/A,5,N/A,5,,,,,,,,,,,,
SOUTH JERSEY ENDOSCOPY LLC,31C0001059,1689633588,WOODBURY,NJ,8096,2020,98.77,,N/A,5,2011,No Different than the National Rate,10.4,8.1,13.4,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTH JERSEY ENDOSCOPY LLC,31C0001059,1689633588,WOODBURY,NJ,8096,2019,100,,N/A,5,2414,No Different Than the National Rate,12.5,9.8,16.1,,N/A,5,N/A,5,,,,,,,,,,,,
ATLANTIC SURGERY CENTER LLC,31C0001061,1407801509,LONG BRANCH,NJ,7740,2020,N/A,5,100,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HORIZON EYE CARE PA,31C0001066,1689751752,MARGATE CITY,NJ,8402,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.94,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HORIZON EYE CARE PA,31C0001066,1689751752,MARGATE CITY,NJ,8402,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.12,,,,,,,,,,,,,
TEANECK GASTROENTEROLOGY AND ENDOSCOPY CENTER,31C0001067,1326136177,TEANECK,NJ,7666,2020,80.31,,N/A,5,1206,No Different than the National Rate,8.9,6.6,11.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TEANECK GASTROENTEROLOGY AND ENDOSCOPY CENTER,31C0001067,1326136177,TEANECK,NJ,7666,2019,N/A,5,N/A,5,1514,No Different Than the National Rate,10.2,7.7,13.5,,N/A,5,N/A,5,,,,,,,,,,,,
ENDO SURGI CENTER PA,31C0001068,1164513149,UNION,NJ,7083,2020,89.58,,N/A,5,818,No Different than the National Rate,8.7,6.6,11.7,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDO SURGI CENTER PA,31C0001068,1164513149,UNION,NJ,7083,2019,N/A,5,N/A,5,1028,No Different Than the National Rate,11.8,8.7,15.7,,N/A,5,N/A,5,,,,,,,,,,,,
THE SURGICAL CENTER OF SOUTH JERSEY EYE PHYSICIANS,31C0001069,1023072824,MOORESTOWN,NJ,8057,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.35,,,,,,,,,,,,,
SURGERY CENTER OF CHERRY HILL D B A WILLS SURGERY CENTER OF CHERRY HILL,31C0001070,1295817435,CHERRY HILL,NJ,8034,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.38,,89,No Different than the National Rate,2.1,1.5,2.9,,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF CHERRY HILL D B A WILLS SURGERY CENTER OF CHERRY HILL,31C0001070,1295817435,CHERRY HILL,NJ,8034,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,97.85,,0.3,,,,,,,,,,,,,
AMERICAN SURGISITE CENTERS,31C0001071,1780630251,SOMERSET,NJ,8873,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.58,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GASTROENTEROLOGY DIAGNOSTICS OF NORTHERN NEW JERSEY PA,31C0001075,1942267893,WOODLAND PARK,NJ,7424,2020,97.28,,N/A,5,1251,No Different than the National Rate,12.2,9.3,16,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GASTROENTEROLOGY DIAGNOSTICS OF NORTHERN NEW JERSEY PA,31C0001075,1942267893,WOODLAND PARK,NJ,7424,2019,N/A,5,N/A,5,1559,No Different Than the National Rate,14.1,10.8,18.3,,N/A,5,N/A,5,,,,,,,,,,,,
PRINCETON ORTHOPAEDIC ASSOCIATES II PA,31C0001077,1649463605,PRINCETON,NJ,8540,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,135,No Different than the National Rate,2.3,1.7,3.1,,N/A,N/A,N/A,N/A,N/A,5
OCEAN COUNTY EYE ASSOCIATES PC,31C0001078,1093760019,TOMS RIVER,NJ,8755,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.33,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
RETINA CONSULTANTS SURGERY CENTER,31C0001079,1427078930,LITTLE SILVER,NJ,7739,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDOSCOPY CENTER OF OCEAN COUNTY,31C0001082,1962568543,TOMS RIVER,NJ,8721,2020,98.04,,N/A,5,1502,No Different than the National Rate,9,6.8,11.7,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDOSCOPY CENTER OF OCEAN COUNTY,31C0001082,1962568543,TOMS RIVER,NJ,8721,2019,93.72,,N/A,5,1755,No Different Than the National Rate,10.9,8.4,14.2,,N/A,5,N/A,5,,,,,,,,,,,,
ATLANTIC GASTRO SURGICENTER LLC,31C0001083,1922028265,EGG HARBOR TOWNSHIP,NJ,8234,2020,77.41,,N/A,5,1505,No Different than the National Rate,9,6.8,11.8,,100,,N/A,5,55,No Different than the National Rate,2.2,1.6,3.1,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
ATLANTIC GASTRO SURGICENTER LLC,31C0001083,1922028265,EGG HARBOR TOWNSHIP,NJ,8234,2019,N/A,5,N/A,5,2010,No Different Than the National Rate,10.1,7.8,13.2,,N/A,5,N/A,5,,,,,,,,,,,,
ATLANTICARE SURGERY CENTER LLC,31C0001088,1689635757,EGG HARBOR TOWNSHIP,NJ,8234,2020,60.47,,N/A,5,1945,No Different than the National Rate,9.8,7.6,12.5,,100,,0.19,,325,No Different than the National Rate,2.2,1.6,3,,38,No Different than the National Rate,6.1,4,9.1,
ATLANTICARE SURGERY CENTER LLC,31C0001088,1689635757,EGG HARBOR TOWNSHIP,NJ,8234,2019,58.21,,N/A,5,2374,No Different Than the National Rate,11.1,8.6,14.1,,93.12,,0.13,,,,,,,,,,,,,
ENDO SURGI CENTER OF OLD BRIDGE LLC,31C0001091,1801987805,OLD BRIDGE,NJ,8857,2020,96.88,,N/A,5,1109,No Different than the National Rate,9.1,6.9,11.8,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDO SURGI CENTER OF OLD BRIDGE LLC,31C0001091,1801987805,OLD BRIDGE,NJ,8857,2019,N/A,5,N/A,5,1301,No Different Than the National Rate,12.1,9.3,15.8,,N/A,5,N/A,5,,,,,,,,,,,,
ATLANTIC COASTAL SURGERY CENTER,31C0001093,1316992761,EGG HARBOR TOWNSHIP,NJ,8234,2020,N/A,5,N/A,5,65,No Different than the National Rate,9.7,7.1,13.1,,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
ATLANTIC COASTAL SURGERY CENTER,31C0001093,1316992761,EGG HARBOR TOWNSHIP,NJ,8234,2019,N/A,5,N/A,5,163,No Different Than the National Rate,11.8,8.5,16.2,,N/A,5,N/A,5,,,,,,,,,,,,
OCEAN ENDOSURGERY CENTER,31C0001095,1972541415,TOMS RIVER,NJ,8755,2020,54.77,,N/A,5,2448,No Different than the National Rate,9.4,7.4,11.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OCEAN ENDOSURGERY CENTER,31C0001095,1972541415,TOMS RIVER,NJ,8755,2019,N/A,5,N/A,5,3127,No Different Than the National Rate,11.7,9.5,14.6,,N/A,5,N/A,5,,,,,,,,,,,,
OAK AND MAIN SURGICENTER LLC,31C0001096,1902863723,VINELAND,NJ,8360,2020,N/A,5,N/A,5,120,No Different than the National Rate,9.9,7.1,13.7,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OAK AND MAIN SURGICENTER LLC,31C0001096,1902863723,VINELAND,NJ,8360,2019,75,,N/A,5,198,No Different Than the National Rate,12.3,9,17,,100,,N/A,5,,,,,,,,,,,,
SURGERY CENTER OF CENTRAL NEW JERSEY,31C0001097,1336138635,NORTH BRUNSWICK,NJ,8902,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.16,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF CENTRAL NEW JERSEY,31C0001097,1336138635,NORTH BRUNSWICK,NJ,8902,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.24,,,,,,,,,,,,,
SHORE OUTPATIENT SURGICENTER LLC,31C0001099,1366449571,LAKEWOOD,NJ,8201,2020,100,,N/A,5,2782,No Different than the National Rate,11,8.8,13.9,,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,1369,No Different than the National Rate,5,4.1,6.1,
SHORE OUTPATIENT SURGICENTER LLC,31C0001099,1366449571,LAKEWOOD,NJ,8201,2019,100,,N/A,5,3441,No Different Than the National Rate,12.3,10,15.2,,N/A,5,N/A,5,,,,,,,,,,,,
AMBULATORY CARE CENTER,31C0001100,1528024114,VINELAND,NJ,8360,2020,30.61,,N/A,5,180,No Different than the National Rate,9.5,6.9,13.1,,100,,0.62,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,112,No Different than the National Rate,5.2,3.6,7.5,
AMBULATORY CARE CENTER,31C0001100,1528024114,VINELAND,NJ,8360,2019,63.54,,N/A,5,264,No Different Than the National Rate,11.8,8.5,16.5,,85.42,,0.66,,,,,,,,,,,,,
OAK TREE SURGERY CENTER LLC,31C0001101,1205929080,EDISON,NJ,8820,2020,70.07,,N/A,5,575,No Different than the National Rate,9.4,7,13,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OAK TREE SURGERY CENTER LLC,31C0001101,1205929080,EDISON,NJ,8820,2019,N/A,5,N/A,5,716,No Different Than the National Rate,12.1,9,16.4,,N/A,5,N/A,5,,,,,,,,,,,,
GLEN RIDGE SURGI CENTER,31C0001102,1972556900,GLEN RIDGE,NJ,7028,2020,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5,35,No Different than the National Rate,2.3,1.6,3.2,,N/A,N/A,N/A,N/A,N/A,5
GLEN RIDGE SURGI CENTER,31C0001102,1972556900,GLEN RIDGE,NJ,7028,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5,,,,,,,,,,,,
ATLANTICARE SURGERY CENTER CAPE MAY,31C0001103,1790772226,CAPE MAY CT HOUSE,NJ,8210,2020,2.3,,N/A,5,1500,No Different than the National Rate,10.5,8,13.6,,N/A,1,0,,146,No Different than the National Rate,2.1,1.5,2.9,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
ATLANTICARE SURGERY CENTER CAPE MAY,31C0001103,1790772226,CAPE MAY CT HOUSE,NJ,8210,2019,14.2,,N/A,5,1857,No Different Than the National Rate,12,9.3,15.7,,N/A,1,0,,,,,,,,,,,,,
NORTHFIELD SURGICAL CENTER LLC,31C0001108,1992713010,WEST ORANGE,NJ,7052,2020,78.69,,N/A,5,1599,No Different than the National Rate,8.4,6.3,10.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHFIELD SURGICAL CENTER LLC,31C0001108,1992713010,WEST ORANGE,NJ,7052,2019,N/A,5,N/A,5,2065,No Different Than the National Rate,9.7,7.4,12.8,,N/A,5,N/A,5,,,,,,,,,,,,
GASTRO SURGI CENTER OF NEW JERSEY,31C0001111,1891881926,MOUNTAINSIDE,NJ,7092,2020,81.6,,N/A,5,1723,No Different than the National Rate,10.1,7.6,13.1,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GASTRO SURGI CENTER OF NEW JERSEY,31C0001111,1891881926,MOUNTAINSIDE,NJ,7092,2019,N/A,5,N/A,5,2172,No Different Than the National Rate,11.1,8.6,14.4,,N/A,5,N/A,5,,,,,,,,,,,,
HUNTERDON ENDOSURGERY CENTER,31C0001114,1417919879,FLEMINGTON,NJ,8822,2020,77.63,,N/A,5,1949,No Different than the National Rate,9,6.9,11.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HUNTERDON ENDOSURGERY CENTER,31C0001114,1417919879,FLEMINGTON,NJ,8822,2019,85.19,,N/A,5,2547,No Different Than the National Rate,9.5,7.2,12.3,,N/A,5,N/A,5,,,,,,,,,,,,
RIVER DRIVE SURGERY CENTER LLC,31C0001116,1649218009,ELMWOOD PARK,NJ,7407,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.71,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGICARE OF MANHATTAN,31C0001117,1811220429,NEW YORK,NY,10017,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,87.14,,N/A,5,230,No Different than the National Rate,2,1.5,2.7,,N/A,N/A,N/A,N/A,N/A,5
CENTRAL JERSEY SURGERY CENTER LLC,31C0001118,1255361259,EATONTOWN,NJ,7724,2020,N/A,1,N/A,5,152,No Different than the National Rate,10.4,7.6,14.1,,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,372,No Different than the National Rate,5.4,4,7.2,
CENTRAL JERSEY SURGERY CENTER LLC,31C0001118,1255361259,EATONTOWN,NJ,7724,2019,N/A,5,N/A,5,211,No Different Than the National Rate,12.2,8.8,16.9,,N/A,5,N/A,5,,,,,,,,,,,,
NORTH JERSEY GASTROENTEROLOGY ENDOSCOPY CENTER,31C0001119,1831275775,WAYNE,NJ,7470,2020,81.33,,N/A,5,1571,No Different than the National Rate,9.7,7.4,12.7,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTH JERSEY GASTROENTEROLOGY ENDOSCOPY CENTER,31C0001119,1831275775,WAYNE,NJ,7470,2019,N/A,5,N/A,5,1958,No Different Than the National Rate,11.4,8.8,14.5,,N/A,5,N/A,5,,,,,,,,,,,,
CARES SURGICENTER LLC,31C0001121,1629079058,NEW BRUNSWICK,NJ,8901,2020,85.11,,N/A,5,363,No Different than the National Rate,9.5,7,12.8,,100,,N/A,5,60,No Different than the National Rate,2.2,1.6,2.9,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
CARES SURGICENTER LLC,31C0001121,1629079058,NEW BRUNSWICK,NJ,8901,2019,93.62,,N/A,5,435,No Different Than the National Rate,11.2,8.3,15.3,,100,,N/A,5,,,,,,,,,,,,
FLORHAM PARK ENDOSCOPY CENTER,31C0001122,1881667368,FLORHAM PARK,NJ,7932,2020,18.78,,N/A,5,3705,No Different than the National Rate,9.6,7.7,11.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
FLORHAM PARK ENDOSCOPY CENTER,31C0001122,1881667368,FLORHAM PARK,NJ,7932,2019,N/A,5,N/A,5,4721,No Different Than the National Rate,12,9.8,14.7,,N/A,5,N/A,5,,,,,,,,,,,,
CENTENNIAL SURGERY CENTER,31C0001123,1912909433,VOORHEES,NJ,8043,2020,76.92,,N/A,5,2373,No Different than the National Rate,8.6,6.7,11.1,,100,,N/A,5,41,No Different than the National Rate,2.1,1.5,2.9,,133,No Different than the National Rate,5.5,3.8,7.8,
CENTENNIAL SURGERY CENTER,31C0001123,1912909433,VOORHEES,NJ,8043,2019,42,,N/A,5,3015,No Different Than the National Rate,10.1,7.9,12.9,,100,,N/A,5,,,,,,,,,,,,
WAYNE SURGICAL CENTER LLC,31C0001124,1184749673,WAYNE,NJ,7470,2020,97.71,,N/A,5,529,No Different than the National Rate,9.9,7.3,13.7,,99.67,,N/A,5,81,No Different than the National Rate,2.2,1.6,3,,239,No Different than the National Rate,5.2,3.7,7.3,
WAYNE SURGICAL CENTER LLC,31C0001124,1184749673,WAYNE,NJ,7470,2019,N/A,5,N/A,5,638,No Different Than the National Rate,12.5,9.3,17.1,,N/A,5,N/A,5,,,,,,,,,,,,
LINDEN SURGICAL CENTER LLC,31C0001125,1780789024,LINDEN,NJ,7036,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
SHREWSBURY SURGERY CENTER,31C0001126,1609907211,SHREWSBURY,NJ,7702,2020,N/A,5,100,,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,273,No Different than the National Rate,2.2,1.6,3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
